entity_id;trophic_class;species_id;pos_x;pos_y;pos_z;symmetry;intelligence_level;is_sessile;has_variable_form;adult;photo_cell_count;non_photo_cell_count;grown_cell_count;alive_body_part_count;energy;in_sunlight;reproduced;reproductions;predations;hunger;dopamine;target_distance;movement_speed;movement_dir_x;movement_dir_y;movement_dir_z;velocity_x;velocity_y;velocity_z;is_climbing;climb_energy_debt;cached_bounding_radius;dna_sigma;dna_k_eat;dna_k_repro;dna_lambda_energy;dna_k_curiosity;dna_k_progress;dna_intel_level;dna_is_carnivore;dna_is_photo;dna_symmetry;dna_has_variable_form;dna_is_sessile;dna_cell_count_norm;dna_photo_cell_ratio;dna_body_extent_x;dna_body_extent_y;dna_body_extent_z;dna_body_radius;dna_body_compactness
179;Herbivore;3;1155.657104;163.309235;596.465515;NoSymmetry;Level3;0;0;1;0;7;7;1;1070.575562;1;1;0;5;0.234924;0.000000;3.874359;20.000000;0.987567;0.000000;-0.157199;0.000000;0.000000;0.000000;0;0.760691;4.000000;0.534646;0.446486;0.277764;0.017946;0.688692;0.519509;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.116667;0.000000;0.050000;0.050000;0.050000;0.066667;0.642857
181;Herbivore;2;703.980530;206.320526;892.836853;Bilateral;Level1;0;0;1;0;14;14;1;282.821991;1;0;0;7;0.234924;1.000000;6.375798;11.982064;-0.629336;0.000000;0.777134;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
183;Herbivore;2;828.682861;348.670105;545.591797;Bilateral;Level1;0;0;1;0;14;14;1;95.001717;1;0;0;1;0.394083;0.000000;18.306355;23.363510;-0.919153;0.000000;-0.393901;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
185;Herbivore;2;1309.175659;544.027344;1481.659424;Bilateral;Level1;0;0;1;0;14;14;1;106.726646;1;0;0;2;0.344389;0.000000;24.254673;25.623245;0.414136;0.000000;0.910215;0.000000;-1.183181;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
187;Herbivore;2;1446.754761;638.589722;2026.947021;Bilateral;Level1;0;0;1;0;14;14;1;135.987167;1;0;0;6;0.246015;0.761485;26.298704;29.757900;0.042536;0.000000;0.999095;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
189;Herbivore;2;1135.667725;224.250366;772.183044;Bilateral;Level1;0;0;1;0;14;14;1;131.702698;1;0;0;2;0.258436;0.000000;21.418718;0.000000;0.795848;0.000000;-0.605496;0.000000;-1.544469;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
191;Herbivore;2;1103.442383;638.589722;1957.912720;Bilateral;Level1;0;0;1;0;14;14;1;109.595222;1;0;0;3;0.333217;0.890045;17.765926;29.410320;-0.215265;0.000000;0.976556;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
193;Herbivore;2;756.518677;639.456543;37.756306;Bilateral;Level1;0;0;1;0;14;14;1;109.824081;1;0;0;2;0.332342;0.000000;31.339701;21.056808;0.993087;0.000000;0.117378;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
195;Herbivore;2;1531.242554;492.954407;1312.677246;Bilateral;Level1;0;0;1;0;14;14;1;128.533463;1;0;0;3;0.268025;0.000000;37.817852;10.839887;0.962186;0.000000;-0.272394;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
197;Herbivore;2;1436.879272;473.080872;1377.653442;Bilateral;Level1;0;0;1;0;14;14;1;138.432602;1;0;0;4;0.239195;0.921692;14.457319;18.906004;-0.345511;0.000000;-0.938415;0.000000;-7.526483;0.000000;0;1.050961;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
